,ROI_label,Run Length::Short run emphasis Means,Run Length::Short run emphasis Std.,Run Length::Short run emphasis Comb.,Run Length::Long run emphasis Means,Run Length::Long run emphasis Std.,Run Length::Long run emphasis Comb.,Run Length::Grey level nonuniformity Means,Run Length::Grey level nonuniformity Std.,Run Length::Grey level nonuniformity Comb.,Run Length::Grey level nonuniformity normalized Means,Run Length::Grey level nonuniformity normalized Std.,Run Length::Grey level nonuniformity normalized Comb.,Run Length::Run length nonuniformity Means,Run Length::Run length nonuniformity Std.,Run Length::Run length nonuniformity Comb.,Run Length::Run length nonuniformity normalized Means,Run Length::Run length nonuniformity normalized Std.,Run Length::Run length nonuniformity normalized Comb.,Run Length::Low grey level run emphasis Means,Run Length::Low grey level run emphasis Std.,Run Length::Low grey level run emphasis Comb.,Run Length::High grey level run emphasis Means,Run Length::High grey level run emphasis Std.,Run Length::High grey level run emphasis Comb.,Run Length::Short run low grey level emphasis Means,Run Length::Short run low grey level emphasis  Std.,Run Length::Short run low grey level emphasis  Comb.,Run Length::Short run high grey level emphasis Means,Run Length::Short run high grey level emphasis Std.,Run Length::Short run high grey level emphasis Comb.,Run Length::Long run low grey level emphasis Means,Run Length::Long run low grey level emphasis Std.,Run Length::Long run low grey level emphasis Comb.,Run Length::Long run high grey level emphasis Means,Run Length::Long run high grey level emphasis Std.,Run Length::Long run high grey level emphasis Comb.,Run Length::Run percentage Means,Run Length::Run percentage Std.,Run Length::Run percentage Comb.,Run Length::Number of runs Means,Run Length::Number of runs Std.,Run Length::Number of runs Comb.,Run Length::Grey level variance Means,Run Length::Grey level variance Std.,Run Length::Grey level variance Comb.,Run Length::Run length variance Means,Run Length::Run length variance Std.,Run Length::Run length variance Comb.,Run Length::Run length entropy Means,Run Length::Run length entropy Std.,Run Length::Run length entropy Comb.
0,32,0.99,0.01,0.99,1.03,0.05,1.03,5.29,0.13,68.66,0.01,0.0,0.01,426.6,19.22,5543.07,0.98,0.03,0.98,0.0,0.0,0.0,13726.9,56.19,13726.41,0.0,0.0,0.0,13637.0,129.17,13638.54,0.0,0.0,0.0,14086.5,578.69,14077.87,0.99,0.01,0.99,434.77,6.57,5652.0,1074.17,8.91,1074.1,0.01,0.01,0.01,6.64,0.06,6.68
0,33,0.99,0.01,0.99,1.04,0.06,1.03,7.37,0.15,95.62,0.01,0.0,0.01,695.13,34.65,9031.84,0.98,0.03,0.98,0.0,0.0,0.0,10678.42,46.64,10677.72,0.0,0.0,0.0,10610.28,77.03,10611.43,0.0,0.0,0.0,10976.06,511.84,10967.23,0.99,0.02,0.99,709.23,12.3,9220.0,1339.5,4.74,1339.48,0.01,0.02,0.01,6.86,0.07,6.9
0,34,0.99,0.01,0.99,1.03,0.06,1.03,2.96,0.11,38.3,0.02,0.0,0.02,155.2,7.86,2016.41,0.98,0.03,0.98,0.0,0.0,0.0,21671.11,136.92,21671.08,0.0,0.0,0.0,21492.11,375.12,21497.08,0.0,0.0,0.0,22420.92,1230.7,22399.72,0.99,0.02,0.99,158.31,2.78,2058.0,2224.52,9.15,2224.79,0.01,0.02,0.01,6.05,0.05,6.09
0,35,0.99,0.01,0.99,1.03,0.05,1.03,3.29,0.07,42.66,0.01,0.0,0.01,272.04,13.35,3534.66,0.98,0.03,0.98,0.0,0.0,0.0,16900.04,83.17,16898.79,0.0,0.0,0.0,16804.37,109.4,16805.81,0.0,0.0,0.0,17303.8,763.66,17290.93,0.99,0.02,0.99,277.23,4.69,3604.0,1378.81,11.89,1378.7,0.01,0.02,0.01,6.64,0.04,6.69
0,36,0.99,0.01,0.99,1.03,0.06,1.03,2.36,0.08,30.54,0.01,0.0,0.01,194.11,8.82,2522.33,0.98,0.03,0.98,0.0,0.0,0.0,19496.7,70.45,19495.61,0.0,0.0,0.0,19399.25,138.95,19401.46,0.0,0.0,0.0,19926.51,975.57,19910.13,0.99,0.02,0.99,197.23,3.33,2564.0,2521.29,13.21,2521.3,0.01,0.02,0.01,6.66,0.04,6.7
0,37,1.0,0.01,1.0,1.02,0.03,1.02,1.58,0.02,20.45,0.01,0.0,0.01,119.95,3.15,1559.1,0.99,0.02,0.99,0.0,0.0,0.0,30006.77,65.2,30006.35,0.0,0.0,0.0,29902.11,139.27,29903.13,0.0,0.0,0.0,30425.43,710.92,30419.23,0.99,0.01,0.99,121.31,1.07,1577.0,1910.03,10.09,1910.04,0.01,0.01,0.01,6.39,0.01,6.42
0,38,0.99,0.02,0.99,1.05,0.08,1.05,6.25,0.21,81.05,0.01,0.0,0.01,574.15,36.85,7457.55,0.97,0.04,0.97,0.0,0.0,0.0,14922.9,133.91,14920.08,0.0,0.0,0.0,14817.38,96.52,14818.27,0.0,0.0,0.0,15399.23,877.67,15379.32,0.99,0.02,0.99,589.31,13.54,7661.0,1793.86,14.86,1794.18,0.02,0.03,0.02,6.91,0.08,6.95
0,39,1.0,0.01,1.0,1.01,0.02,1.01,2.42,0.03,31.46,0.01,0.0,0.01,229.04,5.18,2977.11,0.99,0.02,0.99,0.0,0.0,0.0,22327.08,53.68,22327.29,0.0,0.0,0.0,22253.38,195.38,22254.73,0.0,0.0,0.0,22621.89,580.81,22617.54,1.0,0.01,1.0,231.0,1.75,3003.0,2354.88,7.42,2354.91,0.0,0.01,0.0,6.83,0.02,6.85
0,40,0.99,0.01,0.99,1.05,0.08,1.05,3.6,0.47,45.97,0.01,0.0,0.01,278.79,14.7,3622.59,0.98,0.03,0.98,0.0,0.0,0.0,34243.96,533.31,34255.3,0.0,0.0,0.0,33773.91,1275.64,33800.93,0.0,0.0,0.0,37042.04,4250.82,36952.29,0.99,0.02,0.99,284.31,6.06,3696.0,2811.59,53.71,2814.52,0.02,0.04,0.02,6.85,0.08,6.89
0,41,1.0,0.01,1.0,1.02,0.03,1.02,2.83,0.04,36.66,0.01,0.0,0.01,280.83,7.77,3650.17,0.99,0.02,0.99,0.0,0.0,0.0,29046.12,74.15,29046.78,0.0,0.0,0.0,28912.78,319.23,28915.86,0.0,0.0,0.0,29639.12,1101.04,29628.3,0.99,0.01,0.99,283.54,2.79,3686.0,2245.04,8.84,2245.03,0.01,0.01,0.01,6.83,0.02,6.86
0,42,0.99,0.01,0.99,1.03,0.05,1.03,4.98,0.1,64.56,0.02,0.0,0.02,260.48,11.86,3384.61,0.98,0.03,0.98,0.0,0.0,0.0,22931.08,28.88,22931.44,0.0,0.0,0.0,22750.87,310.52,22755.7,0.0,0.0,0.0,23684.43,1190.96,23665.77,0.99,0.02,0.99,265.38,4.16,3450.0,1347.06,12.99,1347.06,0.01,0.02,0.01,5.98,0.05,6.01
0,43,1.0,0.01,1.0,1.02,0.04,1.02,1.34,0.02,17.3,0.05,0.0,0.05,28.55,1.06,371.02,0.99,0.02,0.99,0.0,0.0,0.0,31262.05,107.55,31261.29,0.0,0.0,0.0,31153.01,248.13,31155.44,0.0,0.0,0.0,31698.25,1098.74,31684.69,0.99,0.01,0.99,28.85,0.36,375.0,1813.02,17.78,1812.89,0.01,0.01,0.01,4.51,0.0,4.55
0,44,0.99,0.01,0.99,1.03,0.06,1.03,2.64,0.1,34.2,0.03,0.0,0.03,79.12,3.92,1028.11,0.98,0.03,0.98,0.0,0.0,0.0,38585.77,204.15,38583.46,0.0,0.0,0.0,38359.43,427.74,38365.01,0.0,0.0,0.0,39600.59,2152.34,39560.89,0.99,0.02,0.99,80.31,1.49,1044.0,1412.91,1.67,1413.18,0.01,0.02,0.01,5.16,0.05,5.2
