,cp,imea,matlab,mitk,nist,pyr,radj,wc,altname
161,-1.0,-1.0,-1.0,-1.0,-1.0,0.4396,-1.0,-1.0,LGLE
162,-1.0,-1.0,-1.0,-1.0,-1.0,0.8407,-1.0,-1.0,GHLE
163,-1.0,-1.0,-1.0,-1.0,-1.0,0.4681,-1.0,-1.0,SDLGLE
164,-1.0,-1.0,-1.0,-1.0,-1.0,0.8094,-1.0,-1.0,SDHGLE
165,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0127,-1.0,-1.0,LDLGLE
166,-1.0,-1.0,-1.0,-1.0,-1.0,0.9645,-1.0,-1.0,LDHGLE
167,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$NGLDM
168,-1.0,-1.0,-1.0,-0.4704,-1.0,-1.0,0.1665,-1.0,LDE
169,-1.0,-1.0,-1.0,-0.0423,-1.0,-1.0,-0.1284,-1.0,HDE
170,-1.0,-1.0,-1.0,0.014,-1.0,-1.0,0.1349,-1.0,LGLCE
171,-1.0,-1.0,-1.0,0.3207,-1.0,-1.0,-0.0394,-1.0,HGLCE
172,-1.0,-1.0,-1.0,0.2719,-1.0,-1.0,0.1477,-1.0,LDLGLE
173,-1.0,-1.0,-1.0,0.2189,-1.0,-1.0,0.0201,-1.0,LDHGLE
174,-1.0,-1.0,-1.0,-0.0639,-1.0,-1.0,-0.0179,-1.0,HDLGLE
175,-1.0,-1.0,-1.0,0.9607,-1.0,-1.0,-0.0497,-1.0,HDHGLE
176,-1.0,-1.0,-1.0,0.3755,-1.0,-1.0,-0.0856,-1.0,GLNU
177,-1.0,-1.0,-1.0,-0.0914,-1.0,-1.0,0.1103,-1.0,GLNUN
178,-1.0,-1.0,-1.0,0.4705,-1.0,-1.0,-0.0858,-1.0,DCNU
179,-1.0,-1.0,-1.0,-0.0327,-1.0,-1.0,0.0871,-1.0,DCNUN
180,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,DCP
181,-1.0,-1.0,-1.0,0.3701,-1.0,-1.0,-1.0,-1.0,GLM
182,-1.0,-1.0,-1.0,0.6159,-1.0,-1.0,-0.0325,-1.0,GLV
183,-1.0,-1.0,-1.0,0.064,-1.0,-1.0,-1.0,-1.0,DCM
184,-1.0,-1.0,-1.0,-0.0726,-1.0,-1.0,-0.0941,-1.0,DCV
185,-1.0,-1.0,-1.0,0.421,-1.0,-1.0,-0.0697,-1.0,DCENT
186,-1.0,-1.0,-1.0,0.1528,-1.0,-1.0,0.1802,-1.0,DCE
187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$NGTDM
188,-1.0,-1.0,-1.0,0.5763,-1.0,0.9617,-0.0059,-1.0,COAR
189,-1.0,-1.0,-1.0,0.9586,-1.0,0.9986,-0.0469,-1.0,CONTR
190,-1.0,-1.0,-1.0,0.8388,-1.0,0.984,0.0778,-1.0,BUSYN
