,cp,imea,matlab,mitk,nist,pyr,radj,wc,altname
247,-1.0,0.4299,-1.0,-1.0,-1.0,-1.0,-1.0,0.4339,D inscr cir
248,-1.0,0.9743,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,D equal area
249,-1.0,0.9952,-1.0,-1.0,-1.0,-1.0,-1.0,0.9959,D equal P
250,0.7789,-1.0,1.0,-1.0,0.9999,-1.0,-1.0,0.9277,eccentri
251,-1.0,-1.0,-1.0,-1.0,-1.0,0.9974,-1.0,-1.0,elong
252,0.4932,-1.0,0.9743,-1.0,-1.0,-1.0,-1.0,0.9743,equiv D
253,0.5646,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,extent
254,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,extr p8X
255,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,extr p8Y
256,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0003,polyg ave
257,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1134,hexag ave
258,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0606,hexag std
259,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.7638,euler n
260,-1.0,0.919,-1.0,-1.0,-1.0,-1.0,-1.0,0.8123,geod len
261,-1.0,0.8919,-1.0,-1.0,-1.0,-1.0,-1.0,0.8457,geod thick
262,0.4965,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.9989,maj AL
263,-0.2857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,max R
264,-0.3146,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,med R
265,-0.2985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,mean R
266,0.59,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.9971,minr AL
267,0.4143,-1.0,-1.0,-1.0,0.1989,-1.0,-1.0,-0.6007,orient
268,0.4448,0.9952,0.9958,-1.0,0.9951,-1.0,-0.0399,0.9959,P
269,0.2097,-1.0,0.1811,-1.0,-1.0,-1.0,-1.0,0.4139,solid
270,0.4535,0.9975,-1.0,-1.0,-1.0,-1.0,-1.0,0.0888,fer max
271,-1.0,0.9993,-1.0,-1.0,-1.0,-1.0,-1.0,0.8736,fer mean
272,-1.0,0.996,-1.0,-1.0,-1.0,-1.0,-1.0,0.9782,fer med
273,-1.0,0.997,-1.0,-1.0,-1.0,-1.0,-1.0,0.4383,fer std
274,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,fer min ang
275,0.5763,0.998,-1.0,-1.0,-1.0,-1.0,-1.0,0.7366,fer min
276,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0437,mar max
277,-1.0,0.0881,-1.0,-1.0,-1.0,-1.0,-1.0,0.1249,mar mean
278,-1.0,0.8163,-1.0,-1.0,-1.0,-1.0,-1.0,0.8073,mar med
279,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,mar min
280,-1.0,-0.017,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0145,mar mode
281,-1.0,0.1251,-1.0,-1.0,-1.0,-1.0,-1.0,0.0014,mar std
282,-1.0,0.0286,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0412,nas max
283,-1.0,0.0595,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1503,nas mean
284,-1.0,0.751,-1.0,-1.0,-1.0,-1.0,-1.0,0.7019,nas med
285,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,nas min
286,-1.0,-0.0429,-1.0,-1.0,-1.0,-1.0,-1.0,0.2283,nas mode
287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0223,nas std
288,-1.0,0.9682,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0394,maxch
289,-1.0,0.9976,-1.0,-1.0,-1.0,-1.0,-1.0,0.9534,maxch mean
290,-1.0,0.9897,-1.0,-1.0,-1.0,-1.0,-1.0,0.839,maxch med
291,-1.0,-0.0577,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1923,maxch min
